112,66,64,64,63,63,63,63,61,60,58,56,56,54,53,51,50,50,50,50,51,51,51,50,50,48,47,49,52,54,58,63,
98,68,68,67,66,66,66,65,64,62,60,58,56,56,54,53,52,50,50,51,51,51,52,51,50,49,48,49,52,55,59,64,
99,69,69,69,69,68,67,67,67,66,64,62,60,59,57,56,55,54,52,52,52,52,53,52,52,51,52,54,58,60,63,69,
71,70,70,70,70,71,71,70,69,68,67,66,64,64,62,60,59,57,55,54,54,54,54,54,55,55,57,60,63,66,69,73,
71,71,71,71,71,72,71,71,70,70,69,69,68,67,66,65,63,61,59,58,57,57,57,58,58,59,61,64,67,69,72,75,
70,70,71,71,72,72,72,71,71,71,70,70,70,70,70,68,66,65,63,61,61,61,61,62,61,61,64,65,67,70,73,76,
69,70,70,70,71,71,71,71,71,69,70,70,70,71,71,71,70,68,67,66,66,65,65,65,65,65,65,66,67,71,74,76,
68,68,68,70,70,70,70,69,69,68,68,70,71,71,71,71,71,70,70,69,69,68,68,67,67,67,66,66,68,71,74,76,
65,66,67,67,68,68,68,68,67,67,67,67,69,70,71,71,71,70,70,70,69,69,69,68,66,66,66,67,69,72,74,76,
63,64,65,66,66,66,66,65,64,64,64,65,67,68,68,69,69,69,69,69,69,69,68,67,67,65,65,68,71,74,75,77,
63,63,64,64,64,64,63,63,62,62,62,62,64,64,64,65,65,66,67,67,67,67,66,65,64,64,65,68,73,76,77,78,
62,62,62,62,62,62,62,61,61,60,59,59,60,61,61,60,62,63,63,62,62,63,63,61,62,62,63,69,74,78,79,80,
61,62,62,62,62,61,60,60,59,58,57,57,58,58,58,57,58,58,57,58,58,59,59,59,59,59,63,69,75,79,81,82,
61,61,62,62,61,61,60,59,58,57,56,56,57,57,56,55,55,54,53,54,54,55,56,56,56,57,60,68,74,78,81,83,
61,62,62,61,61,61,59,58,58,56,56,56,56,55,54,53,52,51,50,50,51,51,52,54,56,56,59,67,74,78,81,83,
61,61,62,61,61,61,60,59,57,56,55,55,55,55,53,52,50,49,47,47,47,49,51,53,54,56,59,66,72,77,81,82,
61,62,62,62,61,61,61,59,58,57,56,56,55,55,53,51,49,47,46,45,46,47,48,51,53,55,58,64,71,77,80,81,
61,61,62,61,61,61,61,60,60,59,58,57,57,56,54,53,51,49,48,46,47,48,48,50,52,53,57,64,70,76,81,82,
61,61,61,61,61,61,61,61,61,60,60,60,59,59,58,57,56,54,52,51,50,50,50,51,52,53,57,64,70,76,81,83,
61,60,61,61,60,60,61,61,61,61,62,62,62,62,61,60,60,59,57,57,55,54,54,54,54,56,59,65,71,77,82,83,
60,60,59,59,60,60,60,61,61,62,62,63,64,64,64,64,63,62,62,61,59,58,59,58,58,59,61,66,72,77,82,84,
60,59,58,58,59,59,59,59,60,61,62,63,64,65,66,66,66,65,65,64,63,62,62,62,61,61,63,67,71,76,81,84,
58,58,57,57,56,56,57,58,58,59,60,61,63,64,65,65,65,66,65,65,65,64,63,63,63,62,63,67,70,76,81,84,
57,57,56,55,55,55,55,56,56,57,58,59,59,61,62,62,63,64,64,64,64,64,63,63,63,63,64,66,69,75,80,83,
57,56,54,54,54,53,54,54,53,53,53,54,55,56,57,58,59,60,60,61,62,62,62,62,61,62,62,64,68,74,79,82,
56,56,54,53,53,53,51,51,51,51,50,51,51,51,53,53,54,55,56,57,58,59,59,59,59,59,61,63,66,73,78,82,
56,56,54,53,52,52,52,50,50,50,49,49,48,49,49,50,50,51,52,53,54,55,55,56,56,57,58,61,65,71,78,80,
57,55,55,55,53,52,51,51,50,50,49,49,48,48,49,49,50,50,50,51,52,53,54,53,54,55,56,60,65,71,77,80,
56,56,55,55,55,53,52,52,52,50,50,49,49,49,49,49,49,49,49,50,51,51,51,52,52,53,54,59,64,70,77,79,
56,56,56,56,55,54,54,53,53,53,51,51,51,51,50,50,50,51,51,51,51,51,51,51,51,51,53,59,64,71,77,79,
56,56,56,56,56,56,55,55,54,54,54,53,53,52,52,52,52,52,52,52,51,51,51,51,51,51,53,60,66,71,77,79,
56,56,56,56,56,56,56,56,56,56,56,56,55,55,54,54,54,54,54,53,53,53,52,52,52,51,54,61,66,72,77,79,
